,City/Measure,Set,Main or Comparison,Time Period,Percentage
36,Glasgow GDP GR,2,Comparison,-6,1.3
37,Glasgow GDP GR,2,Comparison,-5,-4.6
38,Glasgow GDP GR,2,Comparison,-4,-0.7
39,Glasgow GDP GR,2,Comparison,-3,3.6
40,Glasgow GDP GR,2,Comparison,-2,0.3
41,Glasgow GDP GR,2,Comparison,-1,2.9
42,Glasgow GDP GR,2,Comparison,0,1.0
43,Glasgow GDP GR,2,Comparison,1,1.0
44,Glasgow GDP GR,2,Comparison,2,1.4
45,Glasgow GDP GR,2,Comparison,3,3.5
46,Glasgow GDP GR,2,Comparison,4,1.3
47,Glasgow GDP GR,2,Comparison,5,3.3
48,West Midlands Combined Authority GDP/capita GR,3,Main,-6,5.090953486
49,West Midlands Combined Authority GDP/capita GR,3,Main,-5,5.076672862
50,West Midlands Combined Authority GDP/capita GR,3,Main,-4,6.677722499
51,West Midlands Combined Authority GDP/capita GR,3,Main,-3,3.793139185
52,West Midlands Combined Authority GDP/capita GR,3,Main,0,3.016899921
53,West Midlands Combined Authority GDP/capita GR,3,Main,1,2.883691125
54,West Midlands Combined Authority GDP/capita GR,3,Main,2,4.316412333
55,West Midlands Combined Authority GDP/capita GR,3,Main,3,3.200382135
56,West Midlands Combined Authority GDP/capita GR,3,Main,4,4.582272622
57,West Midlands Combined Authority GDP/capita GR,3,Main,5,4.304049568
58,West Midlands Combined Authority GDP/capita GR,3,Main,6,4.094621831
59,West Yorkshire Combined Authority GDP/capita GR,3,Comparison,-6,5.636272545
60,West Yorkshire Combined Authority GDP/capita GR,3,Comparison,-5,3.545174295
61,West Yorkshire Combined Authority GDP/capita GR,3,Comparison,-4,4.958204512
62,West Yorkshire Combined Authority GDP/capita GR,3,Comparison,-3,4.571241545
63,West Yorkshire Combined Authority GDP/capita GR,3,Comparison,0,1.659886086
64,West Yorkshire Combined Authority GDP/capita GR,3,Comparison,1,4.202016968
65,West Yorkshire Combined Authority GDP/capita GR,3,Comparison,2,5.814578693
66,West Yorkshire Combined Authority GDP/capita GR,3,Comparison,3,5.945121951
67,West Yorkshire Combined Authority GDP/capita GR,3,Comparison,4,6.303528606
68,West Yorkshire Combined Authority GDP/capita GR,3,Comparison,5,5.414115372
69,West Yorkshire Combined Authority GDP/capita GR,3,Comparison,6,3.032711709
70,West Midlands Combined Authority GDP GR,4,Main,-6,5.33462882
71,West Midlands Combined Authority GDP GR,4,Main,-5,5.17866163
72,West Midlands Combined Authority GDP GR,4,Main,-4,6.909440187
73,West Midlands Combined Authority GDP GR,4,Main,-3,3.994140625
74,West Midlands Combined Authority GDP GR,4,Main,0,2.949807986
75,West Midlands Combined Authority GDP GR,4,Main,1,1.946571103
76,West Midlands Combined Authority GDP GR,4,Main,2,3.275545258
77,West Midlands Combined Authority GDP GR,4,Main,3,0.536860834
78,West Midlands Combined Authority GDP GR,4,Main,4,2.042103967
79,West Midlands Combined Authority GDP GR,4,Main,5,1.895670271
80,West Midlands Combined Authority GDP GR,4,Main,6,1.061184619
81,West Yorkshire Combined Authority GDP GR,4,Comparison,-6,5.884267722
82,West Yorkshire Combined Authority GDP GR,4,Comparison,-5,3.795492705
83,West Yorkshire Combined Authority GDP GR,4,Comparison,-4,5.028251162
84,West Yorkshire Combined Authority GDP GR,4,Comparison,-3,4.700752728
85,West Yorkshire Combined Authority GDP GR,4,Comparison,0,5.394006659
86,West Yorkshire Combined Authority GDP GR,4,Comparison,1,1.893428812
87,West Yorkshire Combined Authority GDP GR,4,Comparison,2,2.193100312
88,West Yorkshire Combined Authority GDP GR,4,Comparison,3,1.818365696
89,West Yorkshire Combined Authority GDP GR,4,Comparison,4,4.529291404
90,West Yorkshire Combined Authority GDP GR,4,Comparison,5,3.183260799
91,West Yorkshire Combined Authority GDP GR,4,Comparison,6,2.473569824
