,Date,Inflation Measure,Value
560,01/12/2020,Overall Inflation,0.685167
561,01/12/2020,Services Inflation,0.9766387
562,01/01/2021,Overall Inflation,0.5342314
563,01/01/2021,Services Inflation,0.9810456
564,01/02/2021,Overall Inflation,0.5841163
565,01/02/2021,Services Inflation,0.99887
566,01/03/2021,Overall Inflation,0.6029654
567,01/03/2021,Services Inflation,0.9678767
568,01/04/2021,Overall Inflation,0.6196432
569,01/04/2021,Services Inflation,0.9824651
570,01/05/2021,Overall Inflation,0.6963728
571,01/05/2021,Services Inflation,1.14823
572,01/06/2021,Overall Inflation,0.7258721
573,01/06/2021,Services Inflation,1.116307
574,01/07/2021,Overall Inflation,0.7377505
575,01/07/2021,Services Inflation,1.098499
576,01/08/2021,Overall Inflation,0.7846645
577,01/08/2021,Services Inflation,1.09825
578,01/09/2021,Overall Inflation,0.8137974
579,01/09/2021,Services Inflation,1.028107
580,01/10/2021,Overall Inflation,0.8474446
581,01/10/2021,Services Inflation,1.038193
582,01/11/2021,Overall Inflation,0.8768757
583,01/11/2021,Services Inflation,1.062559
584,01/12/2021,Overall Inflation,0.8995402
585,01/12/2021,Services Inflation,1.081929
586,01/01/2022,Overall Inflation,0.9170374
587,01/01/2022,Services Inflation,1.105041
588,01/02/2022,Overall Inflation,0.9523512
589,01/02/2022,Services Inflation,1.069786
590,01/03/2022,Overall Inflation,1.026268
591,01/03/2022,Services Inflation,1.089284
592,01/04/2022,Overall Inflation,1.063074
593,01/04/2022,Services Inflation,1.155279
594,01/05/2022,Overall Inflation,1.123678
595,01/05/2022,Services Inflation,1.192381
